0,40,40,-1,40,40,0,1,100,100,100	##
0,40,80,-1,40,80,0,1,100,100,100	##
0,40,280,-1,40,280,0,1,100,100,100	##
0,40,120,-1,40,120,0,1,100,100,100	##
0,40,160,-1,40,160,0,1,100,100,100	##
0,40,200,-1,40,200,0,1,100,100,100	##
0,40,240,-1,40,240,0,1,100,100,100	##
0,40,320,-1,40,320,0,1,100,100,100	##
0,40,360,-1,40,360,0,1,100,100,100	##
0,40,400,-1,40,400,0,1,100,100,100	##
0,40,440,-1,40,440,0,1,100,100,100	##
0,40,480,-1,40,480,0,1,100,100,100	##
0,40,520,-1,40,520,0,1,100,100,100	##
0,40,560,-1,40,560,0,1,100,100,100	##
0,40,600,-1,40,600,0,1,100,100,100	##
0,40,640,-1,40,640,0,1,100,100,100	##
0,40,680,-1,40,680,0,1,100,100,100	##
0,80,680,-1,80,680,0,1,100,100,100	##
0,120,680,-1,120,680,0,1,100,100,100	##
0,160,680,-1,160,680,0,1,100,100,100	##
0,200,680,-1,200,680,0,1,100,100,100	##
0,240,680,-1,240,680,0,1,100,100,100	##
0,320,680,-1,320,680,0,1,100,100,100	##
0,360,680,-1,360,680,0,1,100,100,100	##
0,400,680,-1,400,680,0,1,100,100,100	##
0,440,680,-1,440,680,0,1,100,100,100	##
0,480,680,-1,480,680,0,1,100,100,100	##
0,520,680,-1,520,680,0,1,100,100,100	##
0,560,680,-1,560,680,0,1,100,100,100	##
0,600,680,-1,600,680,0,1,100,100,100	##
0,640,680,-1,640,680,0,1,100,100,100	##
0,680,680,-1,680,680,0,1,100,100,100	##
0,760,680,-1,760,680,0,1,100,100,100	##
0,280,680,-1,280,680,0,1,100,100,100	##
0,680,640,-1,680,640,0,1,100,100,100	##
0,680,600,-1,680,600,0,1,100,100,100	##
0,680,720,-1,680,720,0,1,100,100,100	##
0,720,720,-1,720,720,0,1,100,100,100	##
0,760,720,-1,760,720,0,1,100,100,100	##
0,800,640,-1,800,640,0,1,100,100,100	##
0,840,600,-1,840,600,0,1,100,100,100	##
0,880,560,-1,880,560,0,1,100,100,100	##
0,920,520,-1,920,520,0,1,100,100,100	##
0,920,480,-1,920,480,0,1,100,100,100	##
0,920,440,-1,920,440,0,1,100,100,100	##
0,920,400,-1,920,400,0,1,100,100,100	##
0,920,360,-1,920,360,0,1,100,100,100	##
0,920,320,-1,920,320,0,1,100,100,100	##
0,920,280,-1,920,280,0,1,100,100,100	##
0,920,240,-1,920,240,0,1,100,100,100	##
0,920,200,-1,920,200,0,1,100,100,100	##
0,920,160,-1,920,160,0,1,100,100,100	##
0,920,120,-1,920,120,0,1,100,100,100	##
0,920,80,-1,920,80,0,1,100,100,100	##
0,920,40,-1,920,40,0,1,100,100,100	##
0,880,40,-1,880,40,0,1,100,100,100	##
0,840,40,-1,840,40,0,1,100,100,100	##
0,800,40,-1,800,40,0,1,100,100,100	##
0,720,40,-1,720,40,0,1,100,100,100	##
0,680,40,-1,680,40,0,1,100,100,100	##
0,640,40,-1,640,40,0,1,100,100,100	##
0,600,40,-1,600,40,0,1,100,100,100	##
0,560,40,-1,560,40,0,1,100,100,100	##
0,520,40,-1,520,40,0,1,100,100,100	##
0,480,40,-1,480,40,0,1,100,100,100	##
0,440,40,-1,440,40,0,1,100,100,100	##
0,400,40,-1,400,40,0,1,100,100,100	##
0,360,40,-1,360,40,0,1,100,100,100	##
0,320,40,-1,320,40,0,1,100,100,100	##
0,280,40,-1,280,40,0,1,100,100,100	##
0,240,40,-1,240,40,0,1,100,100,100	##
0,200,40,-1,200,40,0,1,100,100,100	##
0,160,40,-1,160,40,0,1,100,100,100	##
0,120,40,-1,120,40,0,1,100,100,100	##
0,80,40,-1,80,40,0,1,100,100,100	##
0,760,40,-1,760,40,0,1,100,100,100	##
3,120,240,-1,120,240,0,1,100,100,100	##
